,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
9,0.0,0.0,1.0,149.0
7,0.0,0.0,1.0,149.0
6,0.0,0.0,1.0,149.0
1,0.0,150.0,0.0,0.0
10,0.0,0.0,1.0,149.0
8,0.0,22.0,1.0,127.0
4,0.0,0.0,1.0,149.0
3,0.0,0.0,0.0,150.0
2,0.0,0.0,1.0,149.0
5,0.0,0.0,1.0,149.0
