,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.0,306.0,0.25,493.75
18,0.0,247.0,0.25,552.75
27,2.5,667.0,0.25,130.25
9,0.0,40.0,0.25,759.75
11,0.0,321.0,0.0,479.0
7,0.0,348.0,0.0,452.0
29,0.0,649.0,0.0,151.0
16,0.0,701.0,0.0,99.0
6,0.0,6.0,0.25,793.75
28,0.0,44.0,0.25,755.75
17,0.0,101.0,0.25,698.75
1,0.0,470.0,0.25,329.75
10,0.0,694.0,0.0,106.0
19,0.25,74.0,0.25,725.5
26,0.0,5.0,0.25,794.75
8,0.0,0.0,0.0,800.0
21,0.0,212.0,0.25,587.75
30,0.0,615.0,0.0,185.0
24,0.75,269.0,0.25,530.0
23,0.0,563.0,0.25,236.75
4,0.0,455.0,0.25,344.75
15,0.0,361.0,0.25,438.75
3,0.0,627.0,0.0,173.0
12,0.5,434.0,0.25,365.25
2,0.0,407.0,0.25,392.75
13,0.0,138.0,0.25,661.75
5,0.0,670.0,0.0,130.0
14,0.0,311.0,0.25,488.75
22,0.0,538.0,0.0,262.0
25,0.0,221.0,0.25,578.75
