,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.0,77.0,0.25,722.75
18,0.0,695.0,0.0,105.0
27,0.25,434.0,0.25,365.5
9,0.0,215.0,0.25,584.75
11,0.0,701.0,0.0,99.0
7,0.0,343.0,0.0,457.0
29,0.0,104.0,0.0,696.0
16,0.0,621.0,0.0,179.0
6,0.0,440.0,0.25,359.75
28,5.0,716.0,0.0,79.0
17,0.0,26.0,0.25,773.75
1,0.0,282.0,0.25,517.75
10,0.0,142.0,0.25,657.75
19,0.0,0.0,0.25,799.75
26,0.0,102.0,0.25,697.75
8,0.0,453.0,0.0,347.0
21,0.0,218.0,0.25,581.75
30,0.0,448.0,0.0,352.0
24,0.0,459.0,0.25,340.75
23,0.0,164.0,0.25,635.75
4,0.0,420.0,0.25,379.75
15,0.0,581.0,0.25,218.75
3,0.0,0.0,0.25,799.75
12,0.0,459.0,0.0,341.0
2,0.0,271.0,0.25,528.75
13,0.0,381.0,0.25,418.75
5,0.0,599.0,0.0,201.0
14,0.0,345.0,0.25,454.75
22,0.0,485.0,0.0,315.0
25,0.0,169.0,0.25,630.75
