,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,1.0,0.0,0.25,798.75
18,0.0,167.0,0.0,633.0
27,0.0,457.0,0.25,342.75
9,0.0,302.0,0.25,497.75
11,0.0,526.0,0.25,273.75
7,2.0,93.0,0.25,704.75
29,0.0,472.0,0.25,327.75
16,0.0,626.0,0.0,174.0
6,0.0,265.0,0.25,534.75
28,1.0,0.0,0.25,798.75
17,0.0,595.0,0.0,205.0
1,0.0,162.0,0.25,637.75
10,38.0,697.0,0.25,64.75
19,0.0,800.0,0.0,0.0
26,2.0,550.0,0.25,247.75
8,0.0,572.0,0.25,227.75
21,0.0,37.0,0.25,762.75
30,22.0,0.0,0.25,777.75
24,0.0,347.0,0.25,452.75
23,0.0,371.0,0.25,428.75
4,62.0,457.0,0.25,280.75
15,1.0,0.0,0.25,798.75
3,14.0,503.0,0.25,282.75
12,0.0,455.0,0.25,344.75
2,0.0,34.0,0.25,765.75
13,0.0,561.0,0.0,239.0
5,0.0,0.0,0.25,799.75
14,0.0,739.0,0.0,61.0
22,64.0,736.0,0.0,0.0
25,0.0,95.0,0.25,704.75
