TIN        1077 1066401530     263022       11.0.0.17       11.0.0.39          0
TIN        1077 1066401532     272966       11.0.0.17       11.0.0.39          1
TIN        1077 1066401534     282975       11.0.0.17       11.0.0.39          2
TIN        1077 1066401536     293162       11.0.0.17       11.0.0.39          3
TIN        1077 1066401538     303007       11.0.0.17       11.0.0.39          4
TIN        1077 1066401540     312953       11.0.0.17       11.0.0.39          5
TIN        1246 1066401549     273063       11.0.0.17       11.0.0.32          6
TIN        1246 1066401549     282876       11.0.0.17       11.0.0.32          6
TIN        1246 1066401549     292986       11.0.0.17       11.0.0.32          6
TIN        1246 1066401549     303586       11.0.0.17       11.0.0.32          6
TIN        1246 1066401549     312962       11.0.0.17       11.0.0.32          6
TIN        1246 1066401554     283042       11.0.0.17       11.0.0.19          6
TIN        1220 1066401558     293010       11.0.0.17       11.0.0.21          7
TIN        1246 1066401560     293208       11.0.0.17       11.0.0.19          8
TIN        1220 1066401560     303040       11.0.0.17       11.0.0.21          9
TIN        1246 1066401561     302986       11.0.0.17       11.0.0.36         10
TIN        1246 1066401561     312898       11.0.0.17       11.0.0.36         11
TIN        1246 1066401561     322898       11.0.0.17       11.0.0.36         12
TIN        1246 1066401561     332886       11.0.0.17       11.0.0.36         13
TIN        1246 1066401561     342903       11.0.0.17       11.0.0.36         14
TIN        1246 1066401561     352882       11.0.0.17       11.0.0.36         15
TIN        1220 1066401562     312944       11.0.0.17       11.0.0.21         16
TIN        1220 1066401564     323022       11.0.0.17       11.0.0.21         17
TIN        1246 1066401566     303077       11.0.0.17       11.0.0.19         18
TIN        1220 1066401566     332903       11.0.0.17       11.0.0.21         19
TIN        1031 1066401568     313042       11.0.0.17       11.0.0.49         20
TIN        1220 1066401568     342906       11.0.0.17       11.0.0.21         21
TIN        1031 1066401570     322967       11.0.0.17       11.0.0.49         22
TIN        1246 1066401572     312972       11.0.0.17       11.0.0.19         23
TIN        1246 1066401572     322943       11.0.0.17       11.0.0.11         23
TIN        1031 1066401572     332919       11.0.0.17       11.0.0.49         24
TIN        1031 1066401574     342984       11.0.0.17       11.0.0.49         25
TIN        1246 1066401575     333146       11.0.0.17       11.0.0.19         26
TIN        1246 1066401575     342914       11.0.0.17       11.0.0.19         26
TIN        1246 1066401575     352885       11.0.0.17       11.0.0.19         26
TIN        1246 1066401575     362891       11.0.0.17       11.0.0.19         26
TIN        1246 1066401575     372879       11.0.0.17       11.0.0.19         26
TIN        1246 1066401575     382872       11.0.0.17       11.0.0.19         26
TIN        1246 1066401575     393020       11.0.0.17       11.0.0.19         26
