,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.5,320.0,0.25,479.25
18,0.0,57.0,0.0,743.0
27,0.25,63.0,0.25,736.5
9,0.0,218.0,0.0,582.0
11,0.0,800.0,0.0,0.0
7,22.0,349.0,0.25,428.75
29,0.25,304.0,0.25,495.5
16,0.25,0.0,0.25,799.5
6,0.25,0.0,0.25,799.5
28,32.0,263.0,0.0,505.0
17,0.25,317.0,0.25,482.5
1,0.25,181.0,0.25,618.5
10,0.5,0.0,0.25,799.25
19,0.25,753.0,0.25,46.5
26,62.0,596.0,0.25,141.75
8,0.25,614.0,0.25,185.5
21,0.25,545.0,0.25,254.5
30,270.0,530.0,0.0,0.0
24,0.25,610.0,0.25,189.5
23,0.0,730.0,0.0,70.0
4,0.5,509.0,0.25,290.25
15,0.5,309.0,0.25,490.25
3,14.0,329.0,0.25,456.75
12,0.25,528.0,0.25,271.5
2,0.0,503.0,0.0,297.0
13,0.25,396.0,0.25,403.5
5,0.25,567.0,0.25,232.5
14,0.5,691.0,0.25,108.25
22,0.0,800.0,0.0,0.0
25,0.25,240.0,0.25,559.5
