,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,22.0,0.0,0.25,777.75
18,0.0,127.0,0.0,673.0
27,38.0,0.0,0.25,761.75
9,62.0,14.0,0.25,723.75
11,14.0,754.0,0.25,31.75
7,0.0,696.0,0.0,104.0
29,14.0,0.0,0.25,785.75
16,22.0,424.0,0.25,353.75
6,14.0,359.0,0.25,426.75
28,47.0,0.0,0.0,753.0
17,38.0,403.0,0.25,358.75
1,72.0,260.0,0.0,468.0
10,0.0,514.0,0.0,286.0
19,0.0,800.0,0.0,0.0
26,38.0,550.0,0.25,211.75
8,14.0,51.0,0.25,734.75
21,0.0,718.0,0.0,82.0
30,22.0,705.0,0.25,72.75
24,22.0,568.0,0.25,209.75
23,22.0,58.0,0.25,719.75
4,62.0,31.0,0.25,706.75
15,0.0,598.0,0.0,202.0
3,14.0,420.0,0.25,365.75
12,38.0,481.0,0.25,280.75
2,38.0,326.0,0.25,435.75
13,44.0,0.0,0.0,756.0
5,38.0,75.0,0.25,686.75
14,14.0,0.0,0.25,785.75
22,58.0,49.0,0.25,692.75
25,14.0,724.0,0.25,61.75
