,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.0,93.0,0.25,706.75
18,0.0,545.0,0.0,255.0
27,0.0,689.0,0.0,111.0
9,0.0,0.0,0.25,799.75
11,0.0,760.0,0.25,39.75
7,0.0,666.0,0.0,134.0
29,0.0,224.0,0.25,575.75
16,0.0,241.0,0.25,558.75
6,0.0,0.0,0.25,799.75
28,0.0,248.0,0.25,551.75
17,0.0,374.0,0.25,425.75
1,0.0,283.0,0.25,516.75
10,0.0,0.0,0.25,799.75
19,0.0,0.0,0.25,799.75
26,0.0,0.0,0.25,799.75
8,0.25,316.0,0.25,483.5
21,0.0,764.0,0.0,36.0
30,0.0,0.0,0.25,799.75
24,0.0,628.0,0.25,171.75
23,0.0,331.0,0.25,468.75
4,0.0,485.0,0.25,314.75
15,0.0,691.0,0.0,109.0
3,0.0,0.0,0.25,799.75
12,0.0,0.0,0.25,799.75
2,0.0,458.0,0.25,341.75
13,0.0,0.0,0.25,799.75
5,0.0,475.0,0.25,324.75
14,0.0,365.0,0.25,434.75
22,0.0,800.0,0.0,0.0
25,0.0,0.0,0.25,799.75
