,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.25,139.0,0.25,660.5
18,0.25,1.0,0.25,798.5
27,0.0,698.0,0.0,102.0
9,0.0,660.0,0.0,140.0
11,0.0,288.0,0.25,511.75
7,0.0,619.0,0.0,181.0
29,0.0,480.0,0.0,320.0
16,0.0,164.0,0.25,635.75
6,0.0,0.0,0.25,799.75
28,1.75,510.0,0.5,287.75
17,0.0,63.0,0.25,736.75
1,0.0,282.0,0.25,517.75
10,0.0,719.0,0.0,81.0
19,0.0,165.0,0.25,634.75
26,0.0,429.0,0.25,370.75
8,0.0,647.0,0.0,153.0
21,0.0,569.0,0.0,231.0
30,0.0,361.0,0.0,439.0
24,0.0,502.0,0.25,297.75
23,0.0,470.0,0.25,329.75
4,0.0,131.0,0.25,668.75
15,0.0,186.0,0.25,613.75
3,0.0,432.0,0.0,368.0
12,0.5,2.0,0.25,797.25
2,0.0,347.0,0.25,452.75
13,0.0,39.0,0.25,760.75
5,0.0,143.0,0.25,656.75
14,0.0,311.0,0.25,488.75
22,0.0,341.0,0.25,458.75
25,0.0,563.0,0.0,237.0
