,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.0,771.0,0.0,29.0
18,0.0,98.0,0.0,702.0
27,0.0,0.0,0.25,799.75
9,0.0,354.0,0.0,446.0
11,0.0,462.0,0.25,337.75
7,0.0,30.0,0.25,769.75
29,0.0,269.0,0.25,530.75
16,0.0,0.0,0.25,799.75
6,0.0,75.0,0.25,724.75
28,0.0,0.0,0.25,799.75
17,0.0,183.0,0.25,616.75
1,0.0,229.0,0.25,570.75
10,0.0,524.0,0.25,275.75
19,0.0,800.0,0.0,0.0
26,0.0,651.0,0.0,149.0
8,0.0,550.0,0.0,250.0
21,0.0,700.0,0.25,99.75
30,0.0,705.0,0.25,94.75
24,0.5,60.0,0.25,739.25
23,0.0,19.0,0.25,780.75
4,6.75,457.0,0.25,336.0
15,0.0,44.0,0.25,755.75
3,0.0,397.0,0.25,402.75
12,3.0,225.0,0.25,571.75
2,0.0,35.0,0.25,764.75
13,0.0,99.0,0.25,700.75
5,0.0,0.0,0.25,799.75
14,0.0,0.0,0.25,799.75
22,0.0,0.0,0.25,799.75
25,0.0,668.0,0.25,131.75
