,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,1.5,492.0,0.25,306.25
18,0.0,249.0,0.25,550.75
27,0.0,72.0,0.0,728.0
9,0.0,397.0,0.25,402.75
11,0.5,208.0,0.25,591.25
7,0.0,367.0,0.25,432.75
29,0.0,741.0,0.0,59.0
16,0.0,0.0,0.25,799.75
6,0.0,600.0,0.25,199.75
28,0.0,386.0,0.25,413.75
17,0.0,304.0,0.25,495.75
1,0.0,635.0,0.0,165.0
10,0.0,121.0,0.25,678.75
19,0.0,645.0,0.0,155.0
26,0.0,34.0,0.25,765.75
8,0.0,40.0,0.0,760.0
21,0.0,452.0,0.25,347.75
30,0.0,198.0,0.0,602.0
24,0.0,579.0,0.0,221.0
23,0.5,605.0,0.25,194.25
4,0.0,294.0,0.25,505.75
15,0.0,101.0,0.25,698.75
3,0.0,629.0,0.0,171.0
12,0.0,264.0,0.25,535.75
2,0.0,216.0,0.25,583.75
13,0.0,351.0,0.25,448.75
5,0.0,0.0,0.25,799.75
14,0.0,666.0,0.0,134.0
22,0.0,485.0,0.0,315.0
25,0.0,11.0,0.25,788.75
