,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,0.0,400.0,0.25,399.75
18,0.0,0.0,0.0,800.0
27,0.0,375.0,0.25,424.75
9,0.0,0.0,0.25,799.75
11,0.0,699.0,0.25,100.75
7,0.0,184.0,0.25,615.75
29,0.25,137.0,0.25,662.5
16,0.0,533.0,0.0,267.0
6,0.0,438.0,0.25,361.75
28,0.5,351.0,0.25,448.25
17,0.0,403.0,0.25,396.75
1,0.0,565.0,0.0,235.0
10,0.0,0.0,0.25,799.75
19,0.0,0.0,0.25,799.75
26,0.0,542.0,0.25,257.75
8,0.0,0.0,0.25,799.75
21,0.0,687.0,0.25,112.75
30,0.0,530.0,0.25,269.75
24,0.0,0.0,0.25,799.75
23,0.0,98.0,0.25,701.75
4,0.0,127.0,0.25,672.75
15,0.0,0.0,0.25,799.75
3,0.0,503.0,0.25,296.75
12,0.0,57.0,0.25,742.75
2,0.0,584.0,0.0,216.0
13,0.0,454.0,0.0,346.0
5,0.0,0.0,0.25,799.75
14,0.0,0.0,0.25,799.75
22,0.0,651.0,0.25,148.75
25,0.0,800.0,0.0,0.0
